Access Control List,"A list of permissions attached to an object defining access rights, such as to a party or system."
Accompanying Person,"A person that accompanies another person, such as a mother accompanying her child during a stay in hospital."
Accounting Account Boundary,The lower and upper limits in a series of consecutive accounts.
Accounting Account Classification,"A systematic arrangement in classes or categories according to the sector of activities the business is actually running, such as insurance, commercial and industrial, or not for profit."
Accounting Account Credit Risk,"The risk of loss due to a debtor's non-payment of due invoices, loan or other line of credit for an accounting account."
Accounting Account Dimension,The characteristics template for an aspect of an accounting account which bounds a set of values.
Accounting Account Pattern,"A template depicting the mask of the structure that forms an accounting account identifier; the structure is arranged in successive parts ;  for instance, ""AABBBBCC"" where AA represents a state, BBBB a product, CC a sales representative."
Accounting Account,"A specific account for recording debits and credits to general accounting, cost accounting or budget accounting."
Accounting Book,"A collection of accounting related data that pertains to specific documents, such as year end report, tax reports, trial balance, or entries."
Accounting Characteristic,Specification of accounting characteristics for a trial balance.
Accounting Check,A set of values providing a validation check of accounting data.
Accounting Entry Line,A line included in an accounting entry.
Accounting Entry,"A posting of monetary values into accounting books that indicates the financial flow for an economic event, the acquisition or consumption of a resource, or the working contribution of an agent."
Accounting Journal,A book or file where particularities of transactions of one specific category are recorded.
Accounting Line Index,The identification of a line in a folio of a book or an automated index.
Accounting Line Monetary Value,The material or monetary worth of a thing that is associated with a line that is a part of an accounting entry.
Accounting Period,"A period of time for which accounts are recorded, audited, and reported."
Accounting Voucher,"A document that proves the reality of an operation, authenticates its conclusion and is used in accounting entry recording and for audit control purposes."
Accounts Receivable History,A set of characteristics that provide information regarding the history of accounts receivable.
Accounts Receivable Insurance Factor,A set of characteristics that affect the insurance of accounts receivable.
Accreditation,"An official recognition awarded to a person, organisation or thing, such as a building or product, to certify that a certain level of attainment has been achieved."
ACDR Report,Information pertaining to an Aggregated Catch Data Report (ACDR).
Activity,A thing that a person or group does or has done.
Add On Coverage,A coverage which is added on to a policy but is provided by a different insurer/risk bearer.
Additional Interest,"A concern or stake that a third-party has in an object, such as leasing, mortgage, renting."
Additive,A product added to another product in order to maintain or to change the quality of that product.
Address,The location at which a particular organization or person may be found or reached.
Adjustment,A correction or modification to reflect actual conditions.
Agricultural Application,"Any substance (such as seed, fertilizer, food, water, gas, chemical) applied to a plant or animal."
Agricultural Device,An object used to perform an agricultural activity.
Agricultural Process,"A practice of cultivating land, raising crops, and feeding, breeding and raising livestock or treatment of the produce."
Agronomical Observation,"A collection of diagnostic data, visual or technical, for agronomical purposes."
Air Conditioning,A system to cool and dehumidify indoor air.
Airbag,A safety device in a vehicle that inflates rapidly on impact.
Alarm,"A device that provides a warning that the item which it is protecting is under an imminent threat, such as theft or fire."
Allowance Charge,"A component of pricing, such as a service, promotion, allowance or charge."
Amount To Date,A set of amounts that have been paid or apply from a previous point in time to the current date.
Analysis,A detailed examination of elements and structure.
Animal,A living creature which is not a human being.
Anti-Theft Device,A device that provides theft protection to an object.
Archive Parameter,The set of parameters linked with this archive.
Area,A part of a surface.
Assembly,A number of component pieces fitted together to form a whole.
Assessment,The evaluation of an object with respect to the object's worth or condition.
Assignment,"Allocation of a task, mission or responsibility between two or more entities."
Authentication,A proof that something is genuine.
Authorization,An official permission or approval.
Autopsy,Characteristics of a post-mortem examination.
Availability,Being obtainable or at one's disposal.
Balance Out,Offset information to ensure that debits and credits are equal.
Base Amount Calculation,"The calculation of a base amount, such as a base premium, base loading or discount."
Base Premium,The amount used as a base for a premium calculation for a policy or specific coverage.
Basement,A room or floor which is partly or entirely below ground level.
Batch History Record,A batch which has a parent or child relationship to another batch.
Batch,"A group of objects, animals, plants, persons considered or dealt with together."
Bathroom,A room with a bath.
Bill Of Quantities,"A detailed statement of work, prices, and dimensions."
Binary File,A computer file or program stored in a binary format.
Blanket Coverage,Insurance which encompasses a wide range of risks or properties.
Blood Alcohol Test,An examination of the level of alcohol in the blood of a living creature.
Booking,"A transaction which results in the recording of an entry in an account, such as an entry in a bank account or ordering transport services."
Breakdown Item,A part or element of a whole.
Breakdown Statement,"A detailed statement of work, materials, products, prices, or dimensions."
Building Accessory,A type of accessory located on the same property as the building.
Building Block,A part of a building sharing some common characteristics.
Building Improvement,An addition or enhancement that has been made to a building over and above the original specification.
Building Inspection,A careful review of a building to assess value and shortcomings.
Building Insurance Factor,A set of characteristics or circumstances that affect building insurance.
Building Money Securities Underwriting,Money and securities held at a building and subject to coverage by insurance underwriting.
Building,"A permanent fixed structure, such as a house, factory, hotel, or office building."
Bundle Collection,Combination of documents and books intended to be stored together in a usable form to conform with regulatory requirements.
Business Account,A specific arrangement whereby business transactions are recorded.
Business Profile,"Distinctive features or characteristics of a business such as number of employees, number of operating units, business type."
Business Type,A class or group that specifies the area of business.
Calculation,"The act, the process or result of a procedure of determining something by mathematical or logical methods."
Calendar,"A system that defines beginning, ending, length, and sub-divisions of a period of time."
Capital Asset Amortization,The distribution of the cost of a capital asset with respect to its lifetime duration.
Capital Asset,"An item of property which is usually held for a long period, such as real estate, equipment."
Cargo Insurance,The insurance of goods during their transportation.
Cargo,Goods being transported.
Catch,Information about the species and quantity of fish caught.
